# Weather station Cherrapunji, India, WMO_ID=42515,selection from 26.01.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42515&lang=en
#
"Local time in Cherrapunji";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"12.01.2017 17:30";"10.6";"";"";"";"86";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"17.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.3";"";"";"";"";"";"";
"12.01.2017 11:30";"16.2";"";"";"";"49";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.5";"";"";"";"";"";"";
"12.01.2017 08:30";"10.2";"";"";"";"76";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"5.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.1";"";"";"";"";"";"";
"11.01.2017 17:30";"12.6";"";"";"";"82";"Wind blowing from the north-east";"1";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"18.6";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.6";"";"";"";"";"";"";
"11.01.2017 11:30";"17.2";"";"";"";"46";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.4";"";"";"";"";"";"";
"11.01.2017 08:30";"12.2";"";"";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.4";"";"";"";"";"";"";"4.0";"3.0";"";"";"";"";"";"";
"10.01.2017 17:30";"12.6";"";"";"";"49";"Wind blowing from the west";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"19.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"";"2.0";"2.1";"";"";"";"";"";"";
"10.01.2017 11:30";"18.0";"";"";"";"59";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.7";"";"";"";"";"";"";
"10.01.2017 08:30";"13.2";"";"";"";"70";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.8";"";"";"";"";"";"";
"09.01.2017 20:30";"13.0";"";"";"";"91";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"19.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.6";"";"";"";"";"";"";
"09.01.2017 17:30";"13.0";"";"";"";"91";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"19.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.6";"";"";"";"";"";"";
"09.01.2017 11:30";"18.2";"";"";"";"57";"Wind blowing from the south";"3";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.5";"";"";"";"";"";"";
"09.01.2017 08:30";"12.4";"";"";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"08.01.2017 17:30";"14.0";"";"";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.7";"";"";"";"";"";"";
"08.01.2017 11:30";"19.0";"";"";"";"49";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.9";"";"";"";"";"";"";
"08.01.2017 08:30";"12.8";"";"";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"7.1";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"07.01.2017 17:30";"14.0";"";"";"";"87";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"21.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.9";"";"";"";"";"";"";
"07.01.2017 11:30";"19.0";"";"";"";"46";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.9";"";"";"";"";"";"";
"07.01.2017 08:30";"13.4";"";"";"";"56";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"06.01.2017 17:30";"13.6";"";"";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"20.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.5";"";"";"";"";"";"";
"06.01.2017 11:30";"19.8";"";"";"";"36";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.4";"";"";"";"";"";"";
"06.01.2017 08:30";"13.6";"";"";"";"49";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"7.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.0";"";"";"";"";"";"";
"05.01.2017 17:30";"13.6";"";"";"";"68";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"21.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.8";"";"";"";"";"";"";
"05.01.2017 11:30";"20.2";"";"";"";"40";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.1";"";"";"";"";"";"";
"04.01.2017 17:30";"14.0";"";"";"";"87";"Wind blowing from the north-west";"1";"";"";"60%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.9";"";"";"";"";"";"";
"04.01.2017 11:30";"19.4";"";"";"";"49";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.4";"";"";"";"";"";"";
"04.01.2017 08:30";"14.6";"";"";"";"75";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"8.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.2";"";"";"";"";"";"";
"03.01.2017 17:30";"14.2";"";"";"";"69";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"21.4";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.5";"";"";"";"";"";"";
"03.01.2017 11:30";"19.6";"";"";"";"51";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"03.01.2017 08:30";"15.8";"";"";"";"77";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"10.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.8";"";"";"";"";"";"";
"02.01.2017 17:30";"15.6";"";"";"";"76";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"22.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.3";"";"";"";"";"";"";
"02.01.2017 11:30";"20.0";"";"";"";"53";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.1";"";"";"";"";"";"";
"02.01.2017 08:30";"15.4";"";"";"";"66";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"10.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"01.01.2017 17:30";"15.4";"";"";"";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"21.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.7";"";"";"";"";"";"";
"01.01.2017 11:30";"20.8";"";"";"";"44";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.0";"";"";"";"";"";"";
"01.01.2017 08:30";"15.0";"";"";"";"70";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"10.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.5";"";"";"";"";"";"";
"31.12.2016 17:30";"14.4";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"20.4";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"31.12.2016 11:30";"18.4";"";"";"";"62";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.0";"";"";"";"";"";"";
"31.12.2016 08:30";"15.6";"";"";"";"74";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"11.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.0";"";"";"";"";"";"";
"30.12.2016 17:30";"15.6";"";"";"";"74";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"21.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.0";"";"";"";"";"";"";
"30.12.2016 11:30";"19.8";"";"";"";"44";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.0";"";"";"";"";"";"";
"30.12.2016 08:30";"15.0";"";"";"";"59";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"9.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.9";"";"";"";"";"";"";
"29.12.2016 17:30";"15.0";"";"";"";"66";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"29.12.2016 11:30";"20.2";"";"";"";"43";"Wind blowing from the south";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.1";"";"";"";"";"";"";
"29.12.2016 08:30";"15.4";"";"";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"28.12.2016 17:30";"14.2";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"21.6";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"28.12.2016 11:30";"18.4";"";"";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"28.12.2016 08:30";"14.0";"";"";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
"27.12.2016 17:30";"14.0";"";"";"";"91";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"19.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.6";"";"";"";"";"";"";
"27.12.2016 11:30";"17.6";"";"";"";"64";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.6";"";"";"";"";"";"";
"27.12.2016 08:30";"13.0";"";"";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.1";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"26.12.2016 17:30";"13.8";"";"";"";"85";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"20.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.3";"";"";"";"";"";"";
"26.12.2016 11:30";"18.0";"";"";"";"67";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.7";"";"";"";"";"";"";
"26.12.2016 08:30";"14.6";"";"";"";"87";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"9.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.5";"";"";"";"";"";"";
"25.12.2016 17:30";"14.6";"";"";"";"90";"Wind blowing from the north";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.9";"";"";"";"";"";"";
"25.12.2016 11:30";"16.6";"";"";"";"77";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.5";"";"";"";"";"";"";
"25.12.2016 08:30";"14.8";"";"";"";"83";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"9.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.0";"";"";"";"";"";"";
"24.12.2016 17:30";"15.0";"";"";"";"86";"Wind blowing from the south-west";"1";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"19.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.6";"";"";"";"";"";"";
